city,enroll,name,rate,state
Dover,5200,Delaware State University,42.3%,DE
Huntsville,1452,Oakwood University,42.8%,AL
Marion,229,Judson College,42.3%,AL
Mobile,1911,University of Mobile,42.7%,AL
Boca Raton,3385,Lynn University,42.3%,FL
Boise,77,Stevens Henager College,41.1%,ID
Morrisville,89,Harrison College,41.2%,NC
Greenville,140,Miller Motte College Greenville,41.4%,NC
Lexington,1652,Virginia Military Institute,72.7%,VA
Columbia,35471,University of South Carolina Columbia,72.7%,SC
Loretto,3034,Saint Francis University,72%,PA
Philadelphia,2420,University of the Sciences,72.9%,PA
Cincinnati,6632,Xavier University,72.9%,OH
Oneonta,5918,SUNY College at Oneonta,72.7%,NY
Buffalo,32332,University at Buffalo,72.8%,NY
Irving,2538,University of Dallas,70.3%,TX
Sioux Falls,2022,Augustana University,70.7%,SD
Las Cruces,2945,Computer Career Center,70.6%,TX
Center Valley,3101,DeSales University,70.5%,PA
Eugene,22257,University of Oregon,70.1%,OR
Saint Benedict,119,Mount Angel Seminary,70%,OR
Wilmington,18030,University of North Carolina at Wilmington,70.9%,NC
Buffalo,2630,Canisius College,68.8%,NY
Warner,67,Northeast Catholic College,68.6%,NH
Point Lookout,1479,College of the Ozarks,68.1%,MO
Saint Louis,10596,Maryville University of Saint Louis,68.8%,MO
Saint Louis,1826,Ranken Technical College,68.1%,MO
Albion,1523,Albion College,68.8%,MI
Wilkes-Barre,2130,King's College,63.4%,PA
Bloomsburg,7739,Bloomsburg University of Pennsylvania,63.4%,PA
Plattsburgh,4738,SUNY College at Plattsburgh,63.3%,NY
Corvallis,33193,Oregon State University,63.7%,OR
Millersville,7191,Millersville University of Pennsylvania,63%,PA
Cedar Rapids,1580,Mount Mercy University,68.3%,IA
Allentown,1440,Cedar Crest College,63.7%,PA
Marshall,1688,East Texas Baptist University,42%,TX
Albany,3307,The College of Saint Rose,63%,NY
Harrisonburg,1342,Eastern Mennonite University,61.4%,VA
Kingston,17511,University of Rhode Island,61%,RI
Pittsburgh,484,Rosedale Technical Institute,61.9%,PA
Abilene,4912,Abilene Christian University,61.4%,TX
Milwaukee,1147,Wisconsin Lutheran College,61.9%,WI
Stevens Point,8129,University of Wisconsin Stevens Point,61.9%,WI
Hastings,946,Hastings College,58.5%,NE
Detroit,5227,University of Detroit Mercy,58.5%,MI
Anderson,1345,Anderson University,58.3%,IN
Stevenson,3454,Stevenson University,58.4%,MD
Lincoln,537,Lincoln Christian University,58.9%,IL
Baldwin City,2364,Baker University,58.9%,KS
Bridgewater,9942,Bridgewater State University,58.5%,MA
Charleston,8608,Eastern Illinois University,58.6%,IL
Tampa,10794,The University of Tampa,58.7%,FL
Rexburg,44304,Brigham Young University Idaho,58.8%,ID
Fresno,3524,Fresno Pacific University,58.3%,CA
Fullerton,40738,California State University Fullerton,58.6%,CA
Riverside,11489,California Baptist University,58.2%,CA
Irvine,3710,Concordia University Irvine,58.1%,CA
Prescott,3071,Embry Riddle Aeronautical University Prescott,58.6%,AZ
Anchorage,554,Alaska Pacific University,58%,AK
Salt Lake City,490,Fortis College Salt Lake City,57.3%,UT
Alexandria,548,Blue Cliff College Alexandria,57.4%,LA
Alliance,2133,University of Mount Union,62%,OH
Saint Davids,4429,Eastern University,61.2%,PA
Raleigh,1711,Meredith College,61.9%,NC
Stillwater,24577,Oklahoma State University Main Campus,61.2%,OK
New Rochelle,3617,Iona College,61.9%,NY
Linn,1855,Linn State Technical College,61.4%,MO
University,21203,University of Mississippi,61.2%,MS
Alma,1353,Alma College,61.3%,MI
Biddeford,6642,University of New England,61.2%,ME
Oakland City,867,Oakland City University,61.5%,IN
Marion,2862,Indiana Wesleyan University,61.4%,IN
River Forest,3066,Dominican University,61%,IL
Broomfield,316,Redstone College,61.4%,CO
Macon,9009,Mercer University,62%,GA
La Verne,6201,University of La Verne,61.4%,CA
San Diego,259,Coleman University,61.4%,CA
Chico,15702,California State University Chico,61.4%,CA
Siloam Springs,2459,John Brown University,61.3%,AR
Arkadelphia,1764,Ouachita Baptist University,61.4%,AR
Palm Springs,58,Medvance Institute West Palm,60.1%,FL
Uniontown,285,Laurel Business Institute,60.7%,PA
Manassas,244,Aviation Institute of Maintenance Manassas,60.4%,VA
Forty Fort,172,Fortis Institute Forty Fort,60.9%,PA
Madison,1894,Edgewood College,60.9%,WI
Richmond,28594,Virginia Commonwealth University,60.6%,VA
Moon Township,3764,Robert Morris University,60.1%,PA
Salt Lake City,1535,Westminster College,60.9%,UT
Waynesburg,1470,Waynesburg University,60.5%,PA
Minneapolis,3166,Augsburg College,59.4%,MN
Springfield,1615,Drury University,59.2%,MO
Duluth,9884,University of Minnesota Duluth,59.6%,MN
Boston,890,Wheelock College,59.2%,MA
Cincinnati,40329,University of Cincinnati Main Campus,60.8%,OH
Great Barrington,328,Bard College at Simon's Rock,59.9%,MA
Springfield,3635,Western New England University,59.2%,MA
Davenport,2913,Saint Ambrose University,59.8%,IA
Muncie,20319,Ball State University,59.5%,IN
Palos Heights,985,Trinity Christian College,59.6%,IL
Bourbonnais,3462,Olivet Nazarene University,59%,IL
Chicago,3559,School of the Art Institute of Chicago,59.9%,IL
Chamblee,702,Interactive College of Technology Chamblee,59.2%,GA
Stockton,352,Humphreys College Stockton and Modesto Campuses,59.6%,CA
Los Altos Hills,12438,Foothill College,59.1%,CA
Chicago,34199,University of Illinois at Chicago,59.7%,IL
Pomona,29456,California State Polytechnic University Pomona,59.7%,CA
Columbus,2820,Capital University,60.9%,OH
Saint Augustine,2652,Flagler College St Augustine,59.7%,FL
Rocklin,1685,William Jessup University,59.6%,CA
Hackettstown,1551,Centenary University,60%,NJ
Liberty,805,William Jewell College,60.7%,MO
Kansas City,726,Kansas City Art Institute,60.4%,MO
Greenville,28021,East Carolina University,60.3%,NC
Saint Louis,97,Stevens Institute of Business & Arts,60.4%,MO
Greensboro,1198,Guilford College,60%,NC
Crete,2060,Doane University,60.4%,NE
Manhattan,20229,Kansas State University,60.1%,KS
Lawrence,26780,University of Kansas,60.6%,KS
Standish,1235,Saint Joseph's College of Maine,60.6%,ME
Mississippi State,23086,Mississippi State University,60.2%,MS
Longmeadow,2745,Bay Path University,60.1%,MA
Franklin,962,Franklin College,60.5%,IN
Philadelphia,1557,The University of the Arts,61.9%,PA
Alexandria,2586,Alexandria Technical & Community College,60.9%,MN
Decatur,1906,Millikin University,60.7%,IL
Charleston,211,West Virginia Junior College Charleston,59.8%,WV
Joliet,3426,University of St Francis,60.8%,IL
Radford,8998,Radford University,59%,VA
Milledgeville,6763,Georgia College & State University,60.8%,GA
Ashland,1501,Randolph Macon College,59.9%,VA
Roanoke,855,Hollins University,59.7%,VA
Marlboro,142,Marlboro College,59.9%,VT
Lubbock,40542,Texas Tech University,59.5%,TX
Greensburg,2012,Seton Hill University,59.8%,PA
Philadelphia,245,The Restaurant School at Walnut Hill College,59.4%,PA
Westerville,2605,Otterbein University,59.9%,OH
Reading,2578,Penn State Berks,59.4%,PA
Eugene,686,Northwest Christian University,59.5%,OR
Lawrence,287,Sh'or Yoshuv Rabbinical College,59.5%,NY
Mount Vernon,2064,Mount Vernon Nazarene University,59.1%,OH
Troy,2266,The Sage Colleges,59.4%,NY
Purchase,2350,Manhattanville College,59%,NY
Hempstead,10243,Hofstra University,60%,NY
Salt Lake City,517,Neumont College of Computer Science,58.1%,UT
Cookeville,214,Fortis Institute,58.7%,TN
Charlotte,1262,Johnson & Wales University Charlotte,58.9%,NC
Newark,11901,New Jersey Institute of Technology,59.6%,NJ
Glendale,1094,Arizona College of Allied Health,58.4%,AZ
Whitewater,11446,University of Wisconsin Whitewater,58.8%,WI
Tacoma,5027,University of Washington Tacoma Campus,59%,WA
Nashville,4778,Lipscomb University,58.6%,TN
Rock Hill,153,Clinton Junior College,58.3%,SC
Pittsburgh,3505,Point Park University,58.3%,PA
York,3852,York College Pennsylvania,58.7%,PA
Sharon,144,Laurel Technical Institute,58.5%,PA
West Mifflin,609,Pittsburgh Institute of Aeronautics,58.2%,PA
Queens,19658,St John's University New York,58.4%,NY
Oklahoma City,2551,Oklahoma City University,58.5%,OK
Glenside,3064,Arcadia University,58.9%,PA
Staten Island,710,St Paul's School of Nursing Staten Island,58.6%,NY
Melville,128,SBI Campus An Affiliate of Sanford Brown,58.2%,NY
Newburgh,1941,Mount Saint Mary College,58.8%,NY
Miami,45,Saint John Vianney College Seminary,60%,FL
Lookout Mountain,914,Covenant College,60.3%,GA
Gainesville,12830,Santa Fe College,60.4%,FL
Bridgeport,485,St Vincent's College,60%,CT
Washington,12065,Howard University,60.5%,DC
Cupertino,16706,De Anza College,60.7%,CA
Lakeland,3386,Florida Southern College,60.8%,FL
Louisville,286,ATA College,59.8%,KY
Tucson,48274,University of Arizona,60.6%,AZ
Ft. Wayne,390,MedTech College Ft Wayne Campus,59.4%,IN
Mobile,295,Remington College Mobile Campus,59.2%,AL
Kenosha,2746,Carthage College,59.8%,WI
Milwaukee,2747,Milwaukee School of Engineering,59.7%,WI
Mequon,5204,Concordia University Wisconsin,59.4%,WI
Camarillo,6966,California State University Channel Islands,59.1%,CA
Hialeah,3529,Florida National University,59.2%,FL
Layton,230,Eagle Gate College Layton,59.6%,UT
Boston,1950,Emmanuel College,63.9%,MA
Waukesha,3397,Carroll University,59.8%,WI
Niagara University,3708,Niagara University,63.5%,NY
Omaha,1180,Clarkson College,63.9%,NE
Brooklyn,5370,Pratt Institute Main,63.9%,NY
Helena,1121,Carroll College,63.4%,MT
Lawrenceville,4204,Rider University,63.6%,NJ
Santa Maria,99,Santa Barbara Business College Santa Maria,63%,CA
Stockton,6066,University of the Pacific,63.3%,CA
Caldwell,1145,The College of Idaho,63.8%,ID
Boston,798,The Boston Conservatory,63.1%,MA
Wilmore,1720,Asbury University,65.3%,KY
Cedar Falls,9217,University of Northern Iowa,65.8%,IA
Castine,888,Maine Maritime Academy,63.6%,ME
Orange City,1513,Northwestern College,65.1%,IA
Dubuque,888,Clarke University,65.3%,IA
Naperville,2728,North Central College,65%,IL
Savannah,15636,Savannah College of Art and Design,65.9%,GA
Saint Petersburg,2036,Eckerd College,65.2%,FL
Fairfield,9785,Sacred Heart University,65.3%,CT
Fort Collins,32586,Colorado State University Fort Collins,65.9%,CO
Whittier,1387,Whittier College,65.5%,CA
Los Angeles,522,Southern California Institute of Architecture,65.8%,CA
Santa Clarita,2435,The Master's College and Seminary,65.6%,CA
Long Beach,40190,California State University Long Beach,66%,CA
Landover,541,Fortis College Landover,64.9%,MD
Little Rock,39,Remington College Little Rock Campus,64.4%,AR
Phoenix,54,Fortis College Phoenix,64.5%,AZ
Poulsbo,103,Northwest College of Art,64.1%,WA
Jefferson City,48,Metro Business College Jefferson City,64.3%,MO
West Covina,139,East San Gabriel Valley Regional Occupational Program,65%,CA
Sweet Briar,454,Sweet Briar College,64.5%,VA
Austin,3577,Saint Edward's University,64.9%,TX
Chattanooga,216,Chattanooga College Medical Dental and Technical Careers,64.7%,TN
Columbia,2338,Columbia International University,64.9%,SC
Jackson,2930,Union University,64.9%,TN
Philadelphia,4043,La Salle University,64.3%,PA
Salem,1863,Roanoke College,64.9%,VA
Beaver Falls,1315,Geneva College,64.4%,PA
Erie,227,Erie Institute of Technology Inc,64%,PA
Marietta,1265,Marietta College,64.7%,OH
Oswego,7058,SUNY College at Oswego,64.8%,NY
Jackson Heights,896,Plaza College,64.9%,NY
Rolla,7241,Missouri University of Science and Technology,64.4%,MO
South Orange,9881,Seton Hall University,64.7%,NJ
Winona Lake,1919,Grace College and Theological Seminary,62.7%,IN
Montclair,20744,Montclair State University,64.6%,NJ
Huntington,1350,Huntington University,62.3%,IN
Saint Paul,2931,Hamline University,64%,MN
Mount Berry,2303,Berry College,62.7%,GA
DeLand,4257,Stetson University,62.4%,FL
San Francisco,442,San Francisco Conservatory of Music,63%,CA
Hobe Sound,160,Hobe Sound Bible College,63%,FL
Fayetteville,29068,University of Arkansas,62.4%,AR
Birmingham,1058,Birmingham Southern College,62.7%,AL
Baton Rouge,627,Virginia College,61.5%,LA
Greenwood,320,MedTech College Greenwood Campus,61.3%,IN
Webster,99,Remington College Houston Southeast Campus,61.3%,TX
Bridgeport,115,West Virginia Junior College Bridgeport,61.2%,WV
Wilmington,108,Delaware College of Art and Design,61.2%,DE
Martinsburg,621,Valley College Martinsburg,61.1%,WV
Brooklyn,201,Yeshiva Gedolah Imrei Yosef D'spinka,61.8%,NY
Lawrence,72,Pinnacle Career Institute Lawrence,61.2%,KS
Houghton,7008,Michigan Technological University,64.1%,MI
Atchison,2287,Benedictine College,64.1%,KS
Grand Rapids,127,Kuyper College,64.2%,MI
Ankeny,446,Faith Baptist Bible College and Theological Seminary,64.8%,IA
New Orleans,4570,Loyola University New Orleans,64%,LA
Rolla,32,Metro Business College Rolla,61.2%,MO
Shreveport,341,Remington College Shreveport Campus,63.4%,LA
Houston,223,Remington College North Houston Campus,63.1%,TX
Tempe,77881,Arizona State University,64.5%,AZ
Sunset Hills,316,Vatterott College Sunset Hills,63.1%,MO
Romeoville,6183,Lewis University,64.5%,IL
San Diego,292,John Paul the Great Catholic University,63.8%,CA
Omaha,24,The Creative Center,63.2%,NE
Salt Lake City,34464,University of Utah,63.1%,UT
Norfolk,222,Centura College Norfolk,63.2%,VA
Wynnewood,174,Saint Charles Borromeo Seminary Overbrook,63.9%,PA
Fort Worth,264,Remington College Fort Worth Campus,63.7%,TX
Raleigh,203,Living Arts College,63.9%,NC
Los Angeles,2625,Mount St. Mary's College,63.7%,CA
Bristol,4529,Roger Williams University,63.1%,RI
Valencia,1444,California Institute of the Arts,63.4%,CA
San Rafael,1855,Dominican University of California,63.1%,CA
Los Angeles,217,American Academy of Dramatic Arts Los Angeles,63.7%,CA
Los Angeles,124,American Jewish University,63.3%,CA
Searcy,4973,Harding University,63.2%,AR
Memphis,379,Remington College Memphis Campus,62.4%,TN
Shreveport,51,Blue Cliff College Shreveport,62.3%,LA
Green Bay,697,Bellin College,62.3%,WI
Langhorne,1116,Cairn University,62.5%,PA
Cutler Bay,39,CBT College Cutler Bay,62.5%,FL
Knoxville,942,Johnson University,62%,TN
Monroe,2399,Uta Mesivta of Kiryas Joel,62.2%,NY
Philadelphia,382,Moore College of Art and Design,62.4%,PA
Williamsport,1089,Lycoming College,62.8%,PA
Wilsonville,892,Pioneer Pacific College,62.5%,OR
Toledo,354,Professional Skills Institute,62%,OH
Hiram,1335,Hiram College,62%,OH
Winston-Salem,1119,University of North Carolina School of the Arts,62.3%,NC
Winston Salem,496,Salem College,62.5%,NC
Rochester,1662,Roberts Wesleyan College,62.5%,NY
New York,10493,The New School,62.3%,NY
Purchase,3522,SUNY at Purchase College,62.7%,NY
Asheville,3233,University of North Carolina at Asheville,62.1%,NC
New York,181,American Academy of Dramatic Arts New York,62.9%,NY
Keene,3100,Keene State College,62.9%,NH
Caldwell,2098,Caldwell University,62.9%,NJ
Minneapolis,775,Minneapolis College of Art and Design,62.1%,MN
East Liverpool,133,Ohio Valley College of Technology,59.6%,OH
Seward,2989,Concordia University Seward,62.4%,NE
Saint Louis,6779,Webster University,62.9%,MO
Winona,4701,Saint Mary's University of Minnesota,62.8%,MN
Lexington,30390,University of Kentucky,62.1%,KY
Westfield,5013,Westfield State University,62.7%,MA
Baltimore,13638,University of Maryland Baltimore County,62.2%,MD
Cedar Rapids,1371,Coe College,68.6%,IA
Chicago,6486,Illinois Institute of Technology,68.7%,IL
North Newton,485,Bethel College North Newton,62.4%,KS
Oakland,817,Mills College,69%,CA
Colorado Springs,56,Colorado Academy of Veterinary Technology,67.6%,CO
Houston,303,Culinary Institute Inc,67.1%,TX
Mount Braddock,54,Pennsylvania Institute of Health and Technology,67.9%,PA
Bennington,884,Bennington College,67.5%,VT
Tacoma,2706,Pacific Lutheran University,68%,WA
Houston,80,Remington College Houston Campus,67.2%,TX
Fredonia,3764,SUNY at Fredonia,66%,NY
Cleveland,580,Cleveland Institute of Art,66.7%,OH
Glassboro,19052,Rowan University,66.6%,NJ
Clinton,1231,Presbyterian College,67.4%,SC
Saint Bonaventure,2594,Saint Bonaventure University,66.3%,NY
Albany,17075,SUNY at Albany,67%,NY
Newark,12168,Rutgers University Newark,66.9%,NJ
Saint Louis,119,St Louis College of Health Careers St Louis,66.4%,MO
Lincoln,24431,University of Nebraska Lincoln,66.9%,NE
Nevada,303,Cottey College,66.4%,MO
Saint Paul,3398,Northwestern College,66.4%,MN
Morris,1286,University of Minnesota Morris,66%,MN
Salisbury,7570,Salisbury University,66.8%,MD
Emmitsburg,2570,Mount St Mary's University,66.8%,MD
Dubuque,1386,Loras College,66.8%,IA
Baltimore,1917,Goucher College,66.5%,MD
Mount Vernon,1055,Cornell College,66.9%,IA
Erie,4596,Gannon University,65.5%,PA
Valparaiso,2924,Valparaiso University,67%,IN
Evansville,2078,University of Evansville,66.6%,IN
Philadelphia,8,Metropolitan Career Center Computer Technology Institute,65.3%,PA
Immaculata,2478,Immaculata University,65%,PA
Scranton,530,Johnson College,65.3%,PA
Kettering,195,School of Advertising Art Inc,65.9%,OH
Toledo,1311,Mercy College of Ohio,65.7%,OH
Rochester,16790,Rochester Institute of Technology,65%,NY
Ossining,175,Kehilath Yakov Rabbinical Seminary,65.3%,NY
Garden City,7520,Adelphi University,65.5%,NY
Forest Grove,3751,Pacific University,65.2%,OR
Staten Island,1958,Wagner College,65.1%,NY
Lincoln,1816,Nebraska Wesleyan University,65.8%,NE
Boston,4163,Wentworth Institute of Technology,65.3%,MA
Fulton,654,Westminster College,65.9%,MO
Jackson,666,Millsaps College,65.3%,MS
Madison,2244,Drew University,65%,NJ
Allendale,22406,Grand Valley State University,65.8%,MI
Duluth,3512,The College of Saint Scholastica,65.5%,MN
Los Angeles,1252,Otis College of Art and Design,66.7%,CA
Mishawaka,1339,Bethel College Mishawaka,66.7%,IN
Denver,5566,Regis University,66.9%,CO
San Diego,36484,San Diego State University,67%,CA
Tuscaloosa,38316,The University of Alabama,66.4%,AL
Thousand Oaks,3766,California Lutheran University,66%,CA
Orange Park,442,Fortis College,65.6%,FL
Salt Lake City,11578,Independence University,65.7%,UT
Merced,9093,University of California Merced,65.1%,CA
Pasadena,123,Providence Christian College,65.6%,CA
Leesburg,460,Beacon College,65.4%,FL
Newport News,174,Centura College Newport News,65.6%,VA
Hampton,3317,Hampton University,65.8%,VA
Philadelphia,3746,Philadelphia University,65.7%,PA
Middletown,4933,Penn State Harrisburg,65.8%,PA
Tampa,49708,University of South Florida Main Campus,67.8%,FL
Hampden-Sydney,851,Hampden Sydney College,65.4%,VA
Sarasota,1663,Ringling College of Art and Design,67.8%,FL
Azusa,8126,Azusa Pacific University,67.8%,CA
Ontario,502,Platt College Ontario,66.8%,CA
Eau Claire,10569,University of Wisconsin Eau Claire,66.4%,WI
Pasadena,2319,Art Center College of Design,67.8%,CA
Washington,5059,Catholic University of America,67.8%,DC
Minneapolis,128,Institute of Production and Recording,66.4%,MN
Dallas,595,Dallas Institute of Funeral Service,66.7%,TX
Farmville,4612,Longwood University,66.2%,VA
Pittsburgh,125,Triangle Tech Inc Pittsburgh,66.7%,PA
Erie,3041,Mercyhurst College,66.6%,PA
Norman,28042,University of Oklahoma Norman Campus,66.8%,OK
Greenville,3155,Bob Jones University,66.5%,SC
Springfield,1326,Wittenberg University,66.1%,OH
Altoona,3244,Penn State Altoona,66.5%,PA
Athens,24797,Ohio University Main Campus,66.9%,OH
Westerville,2541,Hondros College,66.4%,OH
Charleston,10941,College of Charleston,67.3%,SC
Slippery Rock,8405,Slippery Rock University of Pennsylvania,67.7%,PA
Philadelphia,23216,Drexel University,67.7%,PA
Lancaster,1967,Lancaster Bible College,67.6%,PA
McMinnville,1297,Linfield University,67%,OR
Newberg,4285,George Fox University,67.4%,OR
Columbus,150,Pontifical College Josephinum,67.9%,OH
Berea,3325,Baldwin Wallace College,67.5%,OH
Brooklyn,4687,Saint Joseph's College New York,67.8%,NY
New York,19969,CUNY Bernard M Baruch College,67.7%,NY
Frederick,2095,Hood College,67.3%,MD
Baton Rouge,35912,Louisiana State University,67.3%,LA
Sioux Center,1784,Dordt College,67.3%,IA
Pella,1139,Central College,67.5%,IA
West Long Branch,5436,Monmouth University,67.3%,NJ
Louisville,3149,Bellarmine University,67.3%,KY
Decatur,297,Gupton Jones College of Funeral Service,67.3%,GA
Richmond,736,Earlham College,69.6%,IN
Lauderdale Lakes,40,Medvance Institute Fort Lauderdale,68.2%,FL
Hanover,1083,Hanover College,68%,IN
La Mirada,5551,Biola University,69.4%,CA
Bothell,6052,University of Washington Bothell Campus,68.7%,WA
Fairfax,38628,George Mason University,68.1%,VA
Ripon,810,Ripon College,68.3%,WI
Newport News,4584,Christopher Newport University,68.8%,VA
Richardson,29696,The University of Texas at Dallas,68.4%,TX
La Crosse,10337,University of Wisconsin La Crosse,68.3%,WI
Erie,4312,Penn State Erie Behrend College,68.8%,PA
Charleston,3693,Citadel Military College of South Carolina,68.1%,SC
Bethlehem,2560,Moravian University,68.9%,PA
Erie,15,Triangle Tech Inc Erie,68.1%,PA
Mitchell,1193,Mitchell Technical Institute,68.8%,SD
Delaware,1339,Ohio Wesleyan University,68.1%,OH
Columbus,790,Mount Carmel College of Nursing,68.7%,OH
Brockport,6991,SUNY College at Brockport,68.5%,NY
Stony Brook,26608,Stony Brook University,68.5%,NY
Boone,20641,Appalachian State University,70.3%,NC
Syracuse,387,St Joseph's College of Nursing at St Joseph's Hospital Health Center,71%,NY
Rockville Centre,4910,Molloy College,70.5%,NY
Boston,5984,Simmons University,70.2%,MA
Kansas City,3626,Rockhurst University,70.3%,MO
Laurel,90,Southeastern Baptist College,70.7%,MS
Springfield,2965,Springfield College,70.5%,MA
Galloway,9352,The Richard Stockton College of New Jersey,70.1%,NJ
Buzzards Bay,1538,Massachusetts Maritime Academy,70.9%,MA
Wenham,1804,Gordon College,70.5%,MA
Bar Harbor,376,College of the Atlantic,70.3%,ME
Dallas,117,KD Conservatory College of Film and Dramatic Arts,73.9%,TX
New Wilmington,1225,Westminster College,73.4%,PA
Selinsgrove,2202,Susquehanna University,73.6%,PA
North Wales,131,Lansdale School of Business,73.7%,PA
Kew Gardens,82,Yeshiva Shaar Hatorah,73.1%,NY
Elizabethtown,1933,Elizabethtown College,73.8%,PA
Goshen,811,Goshen College,68.8%,IN
Riverdale,3694,Manhattan College,73.6%,NY
Hyde Park,2965,Culinary Institute of America,73.5%,NY
Crawfordsville,840,Wabash College,73.5%,IN
Chicopee,1379,College of Our Lady of the Elms,73.3%,MA
New Paltz,7075,State University of New York at New Paltz,73.4%,NY
Grand Rapids,3257,Calvin College,73.6%,MI
Peoria,5588,Bradley University,73.8%,IL
Chicago,17498,Loyola University Chicago,73.5%,IL
Jacksonville,1097,Illinois College,73.1%,IL
Philadelphia,8,Jna Institute of Culinary Arts,72.7%,PA
Indiana,81,Cambria Rowe Business College Indiana,72.3%,PA
Waverly,1541,Wartburg College,70.4%,IA
Indianola,1218,Simpson College,70.1%,IA
Decatur,1109,Agnes Scott College,70.1%,GA
Elmhurst,3518,Elmhurst College,70.3%,IL
Ames,30708,Iowa State University,70.1%,IA
Chicago,252,VanderCook College of Music,70%,IL
Winter Park,3057,Rollins College,70.9%,FL
San Francisco,10034,University of San Francisco,70.9%,CA
Hamden,213,Paier College of Art Inc,70.4%,CT
Boulder,39000,University of Colorado Boulder,70.6%,CO
Moraga,3165,Saint Marys College of California,70.1%,CA
Orlando,70310,University of Central Florida,70%,FL
Redlands,4059,University of Redlands,70.5%,CA
Oakland,370,Lincoln University,70.9%,CA
Conway,1120,Hendrix College,70.5%,AR
Birmingham,5758,Samford University,70.1%,AL
Fenton,440,St Louis College of Health Careers Fenton,69.2%,MO
Chicago,21670,DePaul University,72%,IL
Metairie,822,Blue Cliff College Metairie,69.1%,LA
Port Hadlock,52,Northwest School of Wooden Boat Building,71%,WA
Columbus,496,American Institute of Alternative Medicine,71.1%,OH
Charlotte,314,King's College,71.7%,NC
Provo,684,Provo College Provo,71.3%,UT
De Pere,2009,Saint Norbert College,71.7%,WI
Fort Pierce,128,Aviator College of Aeronautical Science and Technology,71%,FL
Bellingham,15125,Western Washington University,71.4%,WA
Garland,427,Remington College Dallas Campus,71.4%,TX
Dallas,2239,Misericordia University,71.4%,PA
Fredericksburg,3956,University of Mary Washington,71.5%,VA
Waco,20626,Baylor University,71.3%,TX
Latrobe,1592,Saint Vincent College,71.5%,PA
University Heights,3171,John Carroll University,72%,OH
Syracuse,2012,SUNY College of Environmental Science and Forestry,71.3%,NY
Cedarville,4643,Cedarville University,71%,OH
Sarasota,659,New College of Florida,69.9%,FL
Potsdam,3953,Clarkson University,71.7%,NY
Rochester,3539,Saint John Fisher College,71.8%,NY
Nashville,8696,Belmont University,69.3%,TN
Knoxville,31701,The University of Tennessee,69.8%,TN
Franklin,157,O'More College of Design,69.9%,TN
Pullman,29843,Washington State University,65.7%,WA
Philadelphia,35626,Temple University,69.9%,PA
West Chester,17614,West Chester University of Pennsylvania,69%,PA
Newport,2828,Salve Regina University,69.7%,RI
Scranton,2647,Marywood University,69.6%,PA
Tulsa,3832,University of Tulsa,69.2%,OK
Cortland,6658,SUNY College at Cortland,69.7%,NY
Ada,3116,Ohio Northern University,69.2%,OH
Pittsburgh,280,Vet Tech Institute,69.6%,PA
Syracuse,3301,Le Moyne College,69.8%,NY
Omaha,1229,Nebraska Methodist College of Nursing & Allied Health,69.5%,NE
Columbia,31401,University of Missouri Columbia,69.1%,MO
North Andover,5452,Merrimack College,69.2%,MA
Westminster,3053,McDaniel College,69%,MD
Saint Louis,13474,Saint Louis University Main Campus,71.5%,MO
Cape Girardeau,45,Metro Business College Cape Girardeau,71.9%,MO
Kirksville,4225,Truman State University,71.7%,MO
Towson,20856,Towson University,69.2%,MD
Boston,7304,Massachusetts College of Pharmacy and Health Sciences,71.7%,MA
Lexington,970,Transylvania University,71.5%,KY
Annapolis,540,St John's College,71.6%,MD
Boston,1907,Massachusetts College of Art and Design,71.2%,MA
Amherst,472,Hampshire College,71.7%,MA
Worcester,2284,Assumption College,71.5%,MA
Alexandria,2087,Central Louisiana Technical College Alexandria Campus,71.8%,LA
Morrison,74,Morrison Institute of Technology,73.4%,IL
Iowa City,29909,University of Iowa,71%,IA
Salina,852,Salina Area Technical College,71.5%,KS
Riverside,26847,University of California Riverside,71.2%,CA
Auburn University,31526,Auburn University,71.9%,AL
Belleview,298,Taylor College,70.7%,FL
Lancaster,1816,Pennsylvania College of Health Sciences,70.1%,PA
Gulfport,345,Blue Cliff College Gulfport,70%,MS
Saint Louis,799,St Louis College of Pharmacy,72.6%,MO
Mahwah,5732,Ramapo College of New Jersey,73%,NJ
Beverly,3982,Endicott College,72.2%,MA
New Ulm,920,Martin Luther College,72.2%,MN
Moorhead,1919,Concordia College at Moorhead,72.9%,MN
Saint Louis,246,Hickey College,72.7%,MO
Baltimore,2147,Maryland Institute College of Art,72.8%,MD
Lake Charles,47,Delta School of Business and Technology,72.8%,LA
Davenport,103,Hamilton Technical College,72.1%,IA
Lake Forest,1690,Lake Forest College,72.7%,IL
Normal,20233,Illinois State University,72.5%,IL
New York,8150,Fashion Institute of Technology,74.9%,NY
Albany,1078,Albany College of Pharmacy and Health Sciences,74.1%,NY
Manchester,1977,Saint Anselm College,74.1%,NH
Saint Paul,9336,University of St Thomas,74%,MN
Saint Paul,3731,Bethel University,74.1%,MN
Chestertown,1026,Washington College,74.4%,MD
Beloit,884,North Central Kansas Technical College,74.9%,KS
Waterloo,552,Allen College,74.7%,IA
Fort Wayne,186,International Business College,74.5%,IN
Atlanta,2417,Spelman College,74.9%,GA
Miami,5,College of Business and Technology Kendall,73.8%,FL
Alhambra,670,Platt College Los Angeles,73.7%,CA
