Fri,Mon,Sat,Thu,Tue,Wed,city,email,name,phone,street,type,zip
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tatabánya,tatabanya@unixauto.hu,Unix Tatabánya,+36/34-511530,Szent Borbála út 22.,Distributor,2800
,,,,,,Bátonyterenye,laszlo.loy@nogradmuszaki.hu,Castrol SERVICE L&L Leasy-Consulting Bt.,+36 702832441,hrsz. 939/41.,Castrol SERVICE,3070
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Tatabánya,tatabanya@langauto.hu,Láng Kft.,+36 34 309 932,Dankó Pista u. 17/a,Distributor,2800
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tatabánya,,Bárdi Autó Zrt.,3634301286,Győri út 37/a,Distributor,2800
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Mór,mor@unixauto.hu,Unix Mór,+36/22-880557,Mikes Kelemen út 6.,Distributor,8060
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Mór,,Bárdi Autó Zrt.,3613030930,Velegi út 1/A,Distributor,8060
,,,,,,Hódmezővásárhely,gyermanzsolt@tmax.hu,Castrol SERVICE Afit 2000 Kft.,+36 62 535 700,Szántó Kovács János utca 178,Independent,6800
,,,,,,Hódmezővásárhely,ludescher@tmax.hu,Castrol SERVICE Afit 2000 Kft.,+362 026 35439,Szántó Kovács János u. 178.,Castrol SERVICE,6800
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Balassagyarmat,,Bárdi Autó Zrt.,3635313500,Kóvári út 8,Distributor,2660
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hódmezővásárhely,hodmezovasarhely@unixauto.hu,Unix Hódmezővásárhely,+36/62-221399,Szántó Kovács János u.108.,Distributor,6800
,,,,,,Balassagyarmat,ricso.mgal@gmail.com,Gál és Fia Kft,+36 35 314 366,Kóvári út 6/a,Independent,2660
,,,,,,Balassagyarmat,ricso.mgal@gmail.com,Castrol SERVICE Gál és Fiai Kft.,+36 209585797,Kóvári út 6.,Castrol SERVICE,2660
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Balassagyarmat,balassagyarmat@unixauto.hu,Unix Balassagyarmat,+36/35-886809,Kóvári út 4/A.,Distributor,2660
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Várpalota,,Bárdi Autó Zrt.,3688814566,Grábler-tó utca 12,Distributor,8100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Várpalota,varpalota@unixauto.hu,Unix Várpalota,+36/88-889129,Szent Imre utca 15.,Distributor,8100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyomaendrőd,gyomaendrod@unixauto.hu,Unix Gyomaendrőd,+36/66-280288,Bajcsy-ZSilinszky út 53.,Distributor,5500
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Eger,,Bárdi Autó Zrt.,3636322526,Kistályai út 16.,Distributor,3300
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Eger,eger@langauto.hu,Láng Kft.,+36 36 886 100,Mátyás király út 37/b,Distributor,3300
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Eger,eger@unixauto.hu,Unix Eger,+36/36-515702,Mátyás Király út 4-6.,Distributor,3300
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hodmezovasarhely,,Bárdi Autó Zrt.,3662814520,Kaszap u.20.,Distributor,6800
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Salgótarján,salgotarjan@unixauto.hu,Unix Salgótarján,+36/32-513410,Rákóczi út 135/a,Distributor,3100
,,,,,,Salgótarján,salgotarjan@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Bajcsy-Zsilinszky út 49-51.,Distributor,3100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Karcag,karcag@unixauto.hu,Unix Karcag,+36/59-889101,Kisújszállási út 110.,Distributor,5300
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Salgótarján,,Bárdi Autó Zrt.,3632432312,Bajcsy-Zsilinszky út 5.,Distributor,3100
,,,,,,Szekszárd,szekszard@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Pásztor u. 2.,Distributor,7100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szekszárd,,Bárdi Autó Zrt.,3674312184,Palánki út 5/a,Distributor,7100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szekszárd,szekszard@unixauto.hu,Unix Szekszárd,+36/74-511313,Rákóczi u.134/A.,Distributor,7100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Karcag,,Bárdi Autó Zrt.,3659814530,Madarasi út 61,Distributor,5300
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Szekszárd,szekszard@langauto.hu,Láng Kft.,+36 74 509 836,Rákóczi u. 48.,Distributor,7100
,,,,,,Szeged,autodigitalkft@gmail.com,Castrol SERVICE Auto Digital Kft.,+36 202620656,Dorozsmai út 35.,Castrol SERVICE,6728
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tamási,tamasi@unixauto.hu,Unix Tamási,+36/74-887599,Rákóczi u. 87.,Distributor,7090
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szeged,,Bárdi Autó Zrt.,3662814670,Dorozsmai út 52.,Distributor,6700
,,,,,,Szeged,szeged@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Napos u. 9.,Distributor,6728
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tamási,,Bárdi Autó Zrt.,3674509996,Garay u. 1-3.,Distributor,7090
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Szeged,szeged@langauto.hu,Láng Kft.,+36 62 814 672,Dorozsmai út 6.,Distributor,6791
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Orosháza,oroshaza@unixauto.hu,Unix Orosháza,+36/68-512510,Október 6.u.26.,Distributor,5900
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szeged,,Bárdi Autó Zrt.,3662620020,József Attila sugárút 115,Distributor,6723
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Orosháza,,Bárdi Autó Zrt.,3668510150,Csorvási út 54.,Distributor,5900
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szeged,szeged@unixauto.hu,Unix Szeged,+36/62-550490,Bakay Nándor út. 29.,Distributor,6724
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Siófok,siofok@unixauto.hu,Unix Siófok,+36/84-510030,Ipar utca 4,Distributor,8600
,,,,,,Siófok,info@autoszervizsiofok.hu,Autóprofil Kft,+36 84 315 827,Vak Bottyán utca 32.,Independent,8600
,,,,,,Siófok,szalczgruber@fordautoprofil.t-online.hu,Castrol SERVICE Autoprofil Kft.,+36 309699889,Vak Bottyán utca 32.,Castrol SERVICE,8600
,,,,,,Szeged,csabacsiszar75@gmail.com,Castrol SERVICE Csiszár Csaba e.v.,+36 309857281,Tompai Kapu út 9.,Castrol SERVICE,6725
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Baja,baja@langauto.hu,Láng Kft.,+36 79 814 060,Dózsa György u. 213.,Distributor,6500
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Siófok,,Bárdi Autó Zrt.,3684310095,Fő út 150.-152,Distributor,8600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Baja,,Bárdi Autó Zrt.,3679814560,Dózsa Gy.út 113.,Distributor,6500
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Baja,baja@unixauto.hu,Unix Baja,+36/79-522991,Szegedi út 64.,Distributor,6500
,,,,,,Szeged,gorbeauto@gmail.com,Castrol SERVICE Görbe László e.v.,+36 303007468,Makai út 168.,Castrol SERVICE,6771
,,,,,,Baja,info@radialtrade.hu,Castrol SERVICE Radial Trade Kft.,+36 309988337,Dózsa Gy út 64.,Castrol SERVICE,6500
,,,,,,Hódmezővásárhely,autoszerviz@roleri.hu,Castrol SERVICE Roleri-Fém Kft.,+36 306908849,"Makói út, Ipari park HRSz, 6491/25",Castrol SERVICE,6800
,,,,,,Veszprém,gszeghalmi@intercars.eu,Castrol SERVICE Autóház -Veszprém Kft.,36209322650,Budapesti út 72,Castrol SERVICE,8200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Veszprém,veszprem@unixauto.hu,Unix Veszprém,+36/88-580640,Mártirok utja 13.,Distributor,8200
,,,,,,Tab,farkas.auto@vipmail.hu,Castrol SERVICE Farkas Autószerviz,36307420772,Munkás út 5,Castrol SERVICE,8660
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Komárom,,Bárdi Autó Zrt.,3634814578,Mártírok útja 80.,Distributor,2900
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Komárom,komarom@unixauto.hu,Unix Komárom,+36/34-880554,Báthory út 1,Distributor,2900
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Veszprém,veszprem@langauto.hu,Láng Kft.,+36 88 545 600,Pápai út 37.,Distributor,8200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Veszprém,,Bárdi Autó Zrt.,3688325272,Kistó utca 23.,Distributor,8200
,,,,,,Bonyhád,automestergarancia@gmail.com,Castrol SERVICE Korean-Autóház Kft.,+36 202334100,Perczel Mór utca 80.,Castrol SERVICE,7150
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Zirc,zirc@unixauto.hu,Unix Zirc,+36/88-889128,Kossuth Lajos utca 72.,Distributor,8420
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Balatonfüred,balatonfured@unixauto.hu,Unix Balatonfüred,+36/87-888690,Arácsi út 16.,Distributor,8230
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Makó,mako@unixauto.hu,Unix Makó,+36/62-209500,Deák Ferenc u. 61.,Distributor,6900
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Makó,,Bárdi Autó Zrt.,3662814645,Szegedi utca 30.,Distributor,6900
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Békéscsaba,bekescsaba@langauto.hu,Láng Kft.,+36 66 524 200,Ipari út 42.,Distributor,5600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Békéscsaba,,Bárdi Autó Zrt.,3666451110,Szarvasi út 72.,Distributor,5600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Ózd,ozd@unixauto.hu,Unix Ózd,+36/48-889106,Malom út 1.,Distributor,3600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Ózd,,Bárdi Autó Zrt.,3648814820,Vasvár út 60.,Distributor,3600
,,,,,,Ózd,bevelein01@icloud.com,Castrol SERVICE BRIO TRIO TEAM Kft.,+36 302144187,Bolyki főút 64,Castrol SERVICE,3600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Békéscsaba,bekescsaba@unixauto.hu,Unix Békéscsaba,+36/66-445297,Berényi út 47.,Distributor,5600
,,,,,,Ózd,paroby@gmail.com,Castrol SERVICE Papp AutÓzd Kft.,+36 306272391,Volny József utca 2.,Castrol SERVICE,3600
,,,,,,Békéscsaba,expanzio@mazda-auto.hu,Castrol SERVICE Autó Expanzió Kft.,+36 209262223,Dobozi út 108.,Castrol SERVICE,5600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dombóvár,dombovar@unixauto.hu,Unix Dombóvár,+36/74-888690,Köztársaság utca 31.,Distributor,7200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dombóvár,,Bárdi Autó Zrt.,3674815660,Köztársaság út 36.,Distributor,7200
,,,,,,Dombóvár,szummaut@gmail.com,Castrol SERVICE Szumma Kkt.,+36 309742839,Szabadság utca 9.,Castrol SERVICE,7200
,,,,,,Miskolc,silafrontcar@gmail.com,Castrol SERVICE Sila Front-Car Kft.,+36 703620143,Futó u. 72.,Castrol SERVICE,3508
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Komló,komlo@unixauto.hu,Unix Komló,+36/72-887654,Bem József u. 4.,Distributor,7300
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tiszaújváros,tiszaujvaros@unixauto.hu,Unix Tiszaújváros,+36/49-886399,Debreceni út 3.,Distributor,3580
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Mohács,,Bárdi Autó Zrt.,3669814050,Kossuth Lajos u.72.,Distributor,7700
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Miskolc,miskolc@langauto.hu,Láng Kft.,+36 46 411 822,József Attila u. 74.,Distributor,3527
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Miskolc,miskolc@unixauto.hu,Unix Miskolc,+36/46-506857,József Attila u. 74.,Distributor,3527
,,,,,,Miskolc,miskolc@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Fonoda u. 2.,Distributor,3527
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Mohács,mohacs@unixauto.hu,Unix Mohács,+36/69-889103,Pécsi út 43.,Distributor,7700
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Miskolc,,Bárdi Autó Zrt.,3646505040,Repülőtéri út 8/c,Distributor,3526
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyula,gyula@unixauto.hu,Unix Gyula,+36/66-889147,Csabai út 9.,Distributor,5700
,,,,,,Hajdúszoboszló,scsirkes@gmail.com,Castrol SERVICE An-Csir Kft.,06709436758,Hamvas utca 2.,Castrol SERVICE,4200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hajdúszoboszló,hajduszoboszlo@unixauto.hu,Unix Hajdúszoboszló,+36/52-888674,Dózsa György u. 19,Distributor,4200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyula,,Bárdi Autó Zrt.,3666814641,Kétegyházi u. 1/a,Distributor,5700
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hajdúszoboszló,,Bárdi Autó Zrt.,3652814680,Debreceni út 10.,Distributor,4200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Ajka,ajka@unixauto.hu,Unix Ajka,+36/88-200025,Hársfa u.1/b,Distributor,8400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kazincbarcika,,Bárdi Autó Zrt.,3648814830,Hadak útja 11.,Distributor,3700
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Ajka,,Bárdi Autó Zrt.,3688814560,Fő út 70.,Distributor,8400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kazincbarcika,kazincbarcika@unixauto.hu,Unix Kazincbarcika,+36/48-704020,Bercsényi u.2.,Distributor,3700
,,,,,,Győr,gyor@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Hűtőház u. 25.,Distributor,9027
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Győr,gyor@langauto.hu,Láng Kft.,+36 96 518 431,Richter János u. 11.,Distributor,9023
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Győr (É),gyor2@unixauto.hu,Unix Győr II.,+36/96-887948,Puskás Tivadar utca 8.,Distributor,9027
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Győr,gyor@unixauto.hu,Unix Győr,+36/96-518280,Mécs László út 5.,Distributor,9024
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Pápa,papa@unixauto.hu,Unix Pápa,+36/89-311992,Külső- Veszprémi út 57.,Distributor,8500
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Pápa,,Bárdi Autó Zrt.,3689814050,Külső-Veszprémi út 51.,Distributor,8500
,,,,,,Pécs,pecs@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Bajor u. 3.,Distributor,7630
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyor,,Bárdi Autó Zrt.,3696310501,Csipkegyári út 6.,Distributor,9025
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Berettyóújfalu,berettyoujfalu@unixauto.hu,Unix Berettyóújfalu,+36/54-889101,Kossuth út 82,Distributor,4100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Berettyóújfalu,,Bárdi Autó Zrt.,3654814640,Dózsa György utca 49.,Distributor,4100
,,,,,,Kaposvár,t.csoko@osz-car.hu,Castrol SERVICE Osz-Car Szerviz,36302860478,Toponári út 2,Castrol SERVICE,7400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Pécs,,Bárdi Autó Zrt.,3672222523,Farkas I. u. 2.,Distributor,7626
,,,,,,Pécs,pecsiautoszerviz@gmail.com,Castrol SERVICE Cerelog Kft.,+36 202539195,Sport u. 7.,Castrol SERVICE,7622
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Pécs,pecs@unixauto.hu,Unix Pécs,+36/72-333296,Légszeszgyár u. 36.,Distributor,7622
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Pécs,pecs@langauto.hu,Láng Kft.,+36 72 213 801,Megyeri tér 21.,Distributor,7623
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kaposvár,,Bárdi Autó Zrt.,3682311684,Raktár utca 28/A.,Distributor,7400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kaposvár,kaposvar@unixauto.hu,Unix Kaposvár,+36/82-510290,Füredi utca 55.,Distributor,7400
,,,,,,Pécs,info@mecsekszerviz.hu,Castrol SERVICE Varga Roland E.V.,+36 203573771,Páfrány u. 8.,Castrol SERVICE,7633
,,,,,,Kaposvár,kaposvar@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Jutai út 2.,Distributor,7400
